N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens1,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens2,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens3,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens4,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens5,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens6,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens7,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens8,bin_center
1501.0179256868873,1501.2956693614776,1502.5392330400555,1500.177146217617,1500.623228242134,1499.8683507306218,1499.8891849643694,1500.803832902421,0.05
1500.889897865206,1501.0157959753644,1501.7862685415837,1500.2001104142646,1500.4811050168616,1499.8175294572316,1499.4639133345493,1501.0997616677023,0.15000000000000002
1500.9580220721487,1500.7664395845015,1501.3157139574366,1500.2072042599336,1500.2944905724862,1499.5947269804,1499.689490837701,1501.2641332426651,0.25
1501.0027777267876,1500.8008017382772,1501.1949237393771,1500.477121176295,1500.2245839276568,1499.6650305177793,1500.049363033743,1501.3957722545097,0.35000000000000003
1501.1817246364894,1501.0823910935737,1501.3393935567549,1501.0328664761707,1500.5296495594287,1499.7702914863655,1500.4247558180286,1501.4817850891554,0.45
1501.447568207726,1501.1925214640703,1501.4879542376705,1501.5370585181465,1500.9177208781562,1499.8319307534068,1500.6855988970533,1501.7803779631097,0.55
1501.6835462537772,1501.3955113395623,1501.8376263483165,1501.9060750842852,1501.2832131982748,1499.848351117678,1500.9399804514694,1502.094719095639,0.6500000000000001
1502.0475295904687,1501.7544792473395,1502.1578317274475,1502.1374826757403,1501.593631032032,1499.9254376508993,1501.0952626454623,1502.502659108871,0.75
1502.4229693103655,1502.1048317779532,1502.5235807240867,1502.3792134145692,1502.0548117221067,1500.2755225135581,1501.3988170203609,1502.897749354064,0.8500000000000001
1502.84497992841,1502.5298821542476,1503.0778485065457,1502.83411653866,1502.4945008063048,1500.848615576235,1501.9196994723372,1503.4336819534328,0.95
1503.325425961086,1503.1099297659787,1503.754527999148,1503.319137071229,1502.9810051637446,1501.4898406306622,1502.6063974982715,1503.9389937346425,1.05
1503.957712366981,1503.667701972715,1504.3474799962296,1503.7738047111181,1503.5298548885712,1502.126798496576,1503.167318029304,1504.41312323678,1.1500000000000001
1504.7086347630334,1504.124878103431,1504.9335085589673,1504.3277687801783,1503.9178927660337,1502.7863567715713,1503.7536451359174,1504.9077336696635,1.25
1505.4417850613988,1504.6698421074116,1505.468605069258,1504.8969013189367,1504.159300347317,1503.5367153814668,1504.4028955554245,1505.4052753304798,1.35
1506.1561578082747,1505.339621555622,1506.0795718427378,1505.5680142140538,1504.5085821912223,1504.3415222252231,1505.1716949071126,1505.947263025757,1.4500000000000002
1506.8994350661073,1505.8577595035345,1506.660654618559,1506.2555243906936,1504.965238122341,1505.1960436029444,1505.8946617294728,1506.6251261500531,1.55
1507.6270421958166,1506.3972533175397,1507.3339334940792,1506.9984810559722,1505.5243947230254,1505.9380652489588,1506.6294229982586,1507.3637360066107,1.6500000000000001
1508.3438705749143,1507.0319019524832,1508.0420509849557,1507.7074068011389,1506.1408469770654,1506.6136677473467,1507.2838246665874,1508.161314435284,1.75
1508.9963054902023,1507.7118142071465,1508.7650971190872,1508.4369543290675,1506.8965457687386,1507.461590162063,1508.0002680426783,1508.9394195426032,1.85
1509.6246546354203,1508.5038562953584,1509.5840748234586,1509.3121462280697,1507.7137213029478,1508.4316853097782,1508.802692883945,1509.82915357174,1.9500000000000002
1510.2913391550971,1509.446842326364,1510.4846411129645,1510.2226526203635,1508.6168075361063,1509.3857483376435,1509.635828285431,1510.688555286087,2.05
1511.0151634750557,1510.4316046693557,1511.4828991886268,1511.0806876474037,1509.756539437753,1510.331390225881,1510.5370762073233,1511.5091074394954,2.1500000000000004
1511.8378100685165,1511.4337690090235,1512.515068853209,1512.0613137134965,1510.8657337032819,1511.3233259696206,1511.399463405345,1512.30536650299,2.25
1512.7746075226778,1512.5108274529155,1513.5003530290599,1513.0632891144976,1511.8973479332358,1512.388201178426,1512.3464079779958,1513.1106722637494,2.3500000000000005
1513.7594433239344,1513.6771415978612,1514.504391156066,1514.0637398185859,1512.9556079589324,1513.4624283498067,1513.4137137729301,1513.977499696332,2.45
1514.7860904701718,1514.8082017493489,1515.5034823685658,1514.996105047981,1514.1037143835954,1514.587480443717,1514.4509307954977,1514.964226235312,2.55
1515.9488090751152,1515.9539661561903,1516.5121404227643,1515.9718771718622,1515.323636852053,1515.702583122387,1515.562212470826,1516.057451049782,2.6500000000000004
1517.1991856420116,1517.0445048487654,1517.495895788232,1516.9952076595087,1516.5501838112862,1516.7930660110578,1516.6241040181421,1517.2158052182142,2.75
1518.415116692393,1518.0936993707742,1518.4464312741713,1517.9695444797114,1517.8195623904867,1517.8968089691855,1517.7587877722394,1518.3638288143147,2.8500000000000005
1519.557303513717,1519.2083750209954,1519.4008769036723,1519.0023667007526,1519.1078466807294,1519.0378803485753,1518.9803720410214,1519.6014830413283,2.95
1520.7393333421132,1520.3843000926374,1520.4093709126041,1520.162215367896,1520.4226283796534,1520.1736881278775,1520.2310431459975,1520.8824625498128,3.05
1522.0112509300027,1521.6194086855119,1521.5849533005053,1521.414533496378,1521.8298374528733,1521.3832947301626,1521.550352059589,1522.1708501355577,3.1500000000000004
1523.322967092507,1522.8723738336487,1522.816332553277,1522.7581859361678,1523.2149887128496,1522.6711527506914,1522.8784185996706,1523.4322528273767,3.25
1524.669391080106,1524.2433649348984,1524.1257718244653,1524.1865656788136,1524.532977211068,1524.0646505759282,1524.2643999339975,1524.73523850293,3.3500000000000005
1526.0533891260443,1525.6616643215043,1525.5047848045451,1525.6897656227777,1525.8092927377527,1525.5440661064658,1525.6682966023538,1526.0627463928668,3.45
1527.4017317991063,1527.0844628944508,1526.8953161378822,1527.2086354077378,1527.120665854296,1527.08096468217,1527.0652899920813,1527.4758325855112,3.55
1528.829270453042,1528.572304058916,1528.3383368185484,1528.7608032496062,1528.532007766508,1528.6503469055913,1528.483961982977,1528.916694907031,3.6500000000000004
1530.3267995944843,1530.0791249487822,1529.8307869428863,1530.313147024863,1529.9691295901544,1530.2477647066744,1529.9357915688067,1530.4024016880678,3.75
1531.8446093104512,1531.6190292373963,1531.3790145707762,1531.7635387519892,1531.43618828504,1531.8310390919858,1531.455157974216,1531.8815803759746,3.8500000000000005
1533.2937809436366,1533.224607355383,1532.948638391947,1533.1742057596757,1532.93857148969,1533.372411468621,1533.0445947138428,1533.3397534413818,3.95
