N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens1,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens2,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens3,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens4,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens5,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens6,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens7,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens8,bin_center
1419.7142592592595,1419.2975925925928,1420.410555555556,1422.9233333333336,1419.2818518518523,1419.5996296296296,1419.1922222222224,1421.5535185185186,-308.25
1427.3125925925929,1427.567777777778,1427.2100000000003,1426.8135185185188,1430.4496296296297,1428.4581481481482,1428.0829629629632,1428.7542592592595,-307.75
1426.4805555555556,1430.8775925925927,1432.0800000000002,1430.2629629629632,1430.6400000000003,1429.376851851852,1426.7855555555557,1426.8994444444445,-307.25
1428.2738888888891,1430.1211111111113,1433.1355555555558,1429.568703703704,1428.9101851851851,1427.2355555555557,1428.4225925925928,1428.5212962962964,-306.75
1428.8842592592594,1428.9848148148149,1429.2722222222226,1430.4101851851851,1430.412777777778,1425.3818518518522,1430.8396296296298,1427.4435185185187,-306.25
1426.2281481481482,1427.8762962962965,1428.0009259259261,1428.1924074074075,1432.4422222222224,1427.6596296296298,1430.3275925925927,1429.7283333333335,-305.75
1427.690740740741,1429.8342592592594,1429.927777777778,1428.8825925925928,1430.137037037037,1431.1129629629631,1432.037962962963,1430.2333333333336,-305.25
1429.7816666666668,1430.6535185185187,1430.469814814815,1429.0907407407408,1428.6796296296297,1428.73,1431.0542592592594,1430.8462962962965,-304.75
1429.5912962962964,1428.7892592592596,1429.7307407407409,1428.4857407407408,1433.132037037037,1431.3464814814815,1428.4425925925927,1431.1433333333334,-304.25
1427.2701851851853,1432.034814814815,1430.8168518518519,1429.601851851852,1430.7722222222224,1427.7375925925928,1430.1351851851853,1429.1046296296297,-303.75
1429.9709259259262,1427.7824074074074,1429.711851851852,1432.2590740740743,1431.0694444444448,1430.6590740740742,1430.7916666666667,1427.5661111111112,-303.25
1430.5174074074075,1426.7062962962964,1428.857962962963,1429.3564814814818,1427.9703703703703,1431.697962962963,1427.3112962962964,1430.1950000000002,-302.75
1429.1385185185186,1427.7646296296298,1429.3455555555556,1428.928888888889,1428.2942592592594,1428.2883333333336,1430.401851851852,1428.1290740740742,-302.25
1428.204074074074,1427.7414814814815,1427.0150000000003,1430.1912962962965,1428.281666666667,1429.903703703704,1430.43,1430.7625925925927,-301.75
1425.965925925926,1428.383888888889,1427.0053703703707,1431.9511111111112,1430.7774074074077,1429.334814814815,1432.9151851851852,1430.8546296296297,-301.25
1427.5062962962963,1428.643888888889,1430.4235185185187,1429.0140740740742,1430.9175925925927,1427.8201851851854,1430.9638888888892,1431.6700000000003,-300.75
