ensemble_long,ensemble,space,dcyl,dmon_large,nmon_large,nmon_small,dcrowd,phi_c_bulk,phi_c_bulk_round,asphericityMon-mean,asphericityMon-var,asphericityMon-sem,fsdMon-mean,fsdMon-var,fsdMon-sem,gyrMon-mean,gyrMon-var,gyrMon-sem,shapeMon-mean,shapeMon-var,shapeMon-sem,asphericityMon-norm,fsdMon-norm,gyrMon-norm,shapeMon-norm
epss5epsl5r10.5al1nl5ml1ns400ac1nc0lz65.5dt0.005bdump2000adump5000,ns400nl5al1.0D20.0ac1.0nc0,ns400nl5al1.0D20.0ac1.0,20.0,1.0,5,400,1.0,0.0,0.0,0.5530511071689455,0.015597374975719603,0.0005584897502608581,40.02645324371364,34.28549416762501,0.02618528974294342,12.178794386429916,2.8189746845660535,0.007508369943869984,0.8276969442968142,0.0753125002975351,0.0012272501346042653,1.0,1.0,1.0,1.0
epss5epsl5r10.5al1nl5ml1ns400ac1nc11790lz65.5dt0.005bdump2000adump5000,ns400nl5al1.0D20.0ac1.0nc11790,ns400nl5al1.0D20.0ac1.0,20.0,1.0,5,400,1.0,0.15,0.15,0.4768628110599955,0.02023198829826382,0.0006358608195164413,35.58191614771497,31.7832970116312,0.025208485812586105,10.970894525859721,2.442056850962772,0.006986895502036435,0.6645999345327664,0.08535932953770906,0.0013063106386465191,0.8622400441453668,0.8889600068000852,0.9008194224942263,0.8029508132319977
epss5epsl5r10.5al1nl5ml1ns400ac1nc15720lz65.5dt0.005bdump2000adump5000,ns400nl5al1.0D20.0ac1.0nc15720,ns400nl5al1.0D20.0ac1.0,20.0,1.0,5,400,1.0,0.1999999999999999,0.2,0.4582530484242391,0.020452939581950724,0.0006393532962220474,34.48425202183155,30.398882806252203,0.024648989228070496,10.66431650075675,2.282434993354472,0.006753241166212402,0.6250688882675293,0.08417494896527028,0.0012971285368525876,0.8285907802807317,0.8615365396445033,0.87564632116947,0.7551905230223709
epss5epsl5r10.5al1nl5ml1ns400ac1nc17685lz65.5dt0.005bdump2000adump5000,ns400nl5al1.0D20.0ac1.0nc17685,ns400nl5al1.0D20.0ac1.0,20.0,1.0,5,400,1.0,0.225,0.225,0.4475408224647547,0.020739390222832232,0.0006438642643273849,33.8919510264432,29.420924434036166,0.024250770530456246,10.50428529701311,2.2202541416583514,0.006660168182554087,0.6034574620968235,0.0836244353391347,0.0012929247266502519,0.8092214565046344,0.8467388009644874,0.8625061696350989,0.7290802101601358
epss5epsl5r10.5al1nl5ml1ns400ac1nc19650lz65.5dt0.005bdump2000adump5000,ns400nl5al1.0D20.0ac1.0nc19650,ns400nl5al1.0D20.0ac1.0,20.0,1.0,5,400,1.0,0.2499999999999999,0.25,0.44048204005340424,0.021533632012497424,0.0006560627460021208,33.37911896613504,28.825510071773074,0.0239964075503681,10.377936911129032,2.1609722630538846,0.006568932183299295,0.5897831517961547,0.08511166289303411,0.0013043545451257204,0.7964581109117033,0.8339264726478707,0.8521317120430681,0.7125592958389091
epss5epsl5r10.5al1nl5ml1ns400ac1nc21615lz65.5dt0.005bdump2000adump5000,ns400nl5al1.0D20.0ac1.0nc21615,ns400nl5al1.0D20.0ac1.0,20.0,1.0,5,400,1.0,0.275,0.275,0.43280807419567724,0.020806637853767768,0.0006448421095045729,32.86613907101359,27.434822913671642,0.023415211567214086,10.227213072800296,2.0245279202889077,0.0063603525235573334,0.5732090012415639,0.08134308167572837,0.0012752163857404296,0.782582420657669,0.8211104509035007,0.83975578766613,0.6925348766734238
epss5epsl5r10.5al1nl5ml1ns400ac1nc23580lz65.5dt0.005bdump2000adump5000,ns400nl5al1.0D20.0ac1.0nc23580,ns400nl5al1.0D20.0ac1.0,20.0,1.0,5,400,1.0,0.3,0.3,0.42464827992026233,0.02271536437198444,0.000673842060021338,32.39266234596372,30.080104261887584,0.024518321467554435,10.084589147731428,2.2142530356068555,0.0066505459256631745,0.5591830749516326,0.08746252882272064,0.0013222494608675316,0.7678282791874806,0.8092813557256952,0.8280449466301909,0.6755891498750153
epss5epsl5r10.5al1nl5ml1ns400ac1nc25545lz65.5dt0.005bdump2000adump5000,ns400nl5al1.0D20.0ac1.0nc25545,ns400nl5al1.0D20.0ac1.0,20.0,1.0,5,400,1.0,0.325,0.325,0.4232111391528119,0.022008082083847774,0.0006632826721006989,32.05406158923035,27.992660570194722,0.023651123194694944,9.986236696610558,2.0681834103514016,0.006426717687121803,0.555284844035657,0.0851875180202063,0.0013048830091306593,0.7652297114442441,0.8008219312877692,0.8199692333863202,0.6708794177166015
epss5epsl5r10.5al1nl5ml1ns400ac1nc27510lz65.5dt0.005bdump2000adump5000,ns400nl5al1.0D20.0ac1.0nc27510,ns400nl5al1.0D20.0ac1.0,20.0,1.0,5,400,1.0,0.35,0.35,0.4220987177714045,0.021723853009646223,0.0006588996701620511,31.901537621949416,27.127482510382755,0.02326580110554304,9.936693103592889,2.015554417621247,0.006337370818094698,0.5524932137998113,0.08390942247530125,0.0012946154470709081,0.7632182854349883,0.7970113521602046,0.8159012122468162,0.6675066491506653
epss5epsl5r10.5al1nl5ml1ns400ac1nc29475lz65.5dt0.005bdump2000adump5000,ns400nl5al1.0D20.0ac1.0nc29475,ns400nl5al1.0D20.0ac1.0,20.0,1.0,5,400,1.0,0.3749999999999999,0.375,0.42699097003719555,0.021142389340615568,0.0006496201665931818,31.75868893533451,25.249701386813957,0.022439781413171267,9.885950246970385,1.890335392652623,0.006136796893467066,0.5612678635357857,0.08225565717242268,0.0012814670927484449,0.7720642170358386,0.7934424951909117,0.8117347196521927,0.6781079323817265
