rho_c_out,rho_c_in,r_chain,phi_c_out,phi_c_in,r_scaled,tail_model,vdep_model,nmon,dcyl,dcrowd
0.05,0.0485144252707825,74.14921034210731,0.013404128655316453,0.013005871959366087,0.9999999999999984,LJ,Ha,400.0,20.0,0.8
0.05,0.0485144252707825,74.14921034210742,0.013404128655316453,0.013005871959366087,1.0,LJ,Ha,400.0,20.0,0.8
0.1,0.0970224417982131,73.87299288776046,0.026808257310632907,0.026010025846324017,0.9962748429407062,LJ,Ha,400.0,20.0,0.8
0.1,0.0970224417982131,73.87299288776089,0.026808257310632907,0.026010025846324017,0.9962748429407119,LJ,Ha,400.0,20.0,0.8
0.15,0.1455199543570595,73.53762576315378,0.04021238596594936,0.03901136380235607,0.9917519744831815,LJ,Ha,400.0,20.0,0.8
0.15,0.1455199543570595,73.53762576315333,0.04021238596594936,0.03901136380235607,0.9917519744831754,LJ,Ha,400.0,20.0,0.8
0.2,0.1940008872162595,73.13228438591514,0.053616514621265814,0.05200825702984558,0.9862854108425374,LJ,Ha,400.0,20.0,0.8
0.2,0.1940008872162594,73.13228438591433,0.053616514621265814,0.05200825702984556,0.9862854108425264,LJ,Ha,400.0,20.0,0.8
0.25,0.2424560578676484,72.64310742548037,0.06702064327658226,0.0649982438583762,0.9796882136751256,LJ,Ha,400.0,20.0,0.8
0.25,0.2424560578676485,72.64310742548084,0.06702064327658226,0.06499824385837623,0.9796882136751318,LJ,Ha,400.0,20.0,0.8
0.3,0.29087189588475,72.05180616840697,0.08042477193189872,0.07797768629310002,0.97171373553375,LJ,Ha,400.0,20.0,0.8
0.35,0.3392289453569365,71.33373213706184,0.09382890058721516,0.09094136854343382,0.9620295591543644,LJ,Ha,400.0,20.0,0.8
0.35,0.3392289453569366,71.3337321370628,0.09382890058721516,0.09094136854343386,0.9620295591543773,LJ,Ha,400.0,20.0,0.8
0.4,0.3874999229478199,70.45517870955919,0.10723302924253163,0.10388197642235579,0.9501811062382888,LJ,Ha,400.0,20.0,0.8
0.4,0.3874999229478197,70.45517870955868,0.10723302924253163,0.10388197642235575,0.9501811062382819,LJ,Ha,400.0,20.0,0.8
0.45,0.4356468487463126,69.3695204323862,0.12063715789784807,0.11678932817757522,0.9355395709857349,LJ,Ha,400.0,20.0,0.8
0.45,0.4356468487463121,69.36952043238375,0.12063715789784807,0.11678932817757509,0.935539570985702,LJ,Ha,400.0,20.0,0.8
0.5,0.4836162887611631,68.01147487342605,0.13404128655316452,0.12964909908722605,0.9172245336077988,LJ,Ha,400.0,20.0,0.8
0.5,0.4836162887611629,68.01147487342551,0.13404128655316452,0.129649099087226,0.9172245336077915,LJ,Ha,400.0,20.0,0.8
0.55,0.5313307233500338,66.28815056863789,0.14744541520848098,0.14244050748612413,0.8939832300681233,LJ,Ha,400.0,20.0,0.8
0.55,0.5313307233500331,66.2881505686352,0.14744541520848098,0.14244050748612394,0.8939832300680871,LJ,Ha,400.0,20.0,0.8
0.6000000000000001,0.5786716121614679,64.06426385336326,0.16084954386379746,0.155131774771834,0.8639911815349814,LJ,Ha,400.0,20.0,0.8
0.6500000000000001,0.6254432156937472,61.13612662792249,0.17425367251911392,0.1676704265950765,0.8245013850566236,LJ,Ha,400.0,20.0,0.8
0.7000000000000001,0.6712865422469328,57.182873687794505,0.18765780117443034,0.17996022353720822,0.7711865497146343,LJ,Ha,400.0,20.0,0.8
0.7000000000000001,0.6712865422469316,57.182873687791755,0.18765780117443034,0.1799602235372079,0.7711865497145972,LJ,Ha,400.0,20.0,0.8
