lineage_name,whole,ensemble_long,ensemble,space,epsilon_small,epsilon_large,dcyl,dmon_large,nmon_large,mmon_large,nmon_small,dcrowd,ncrowd,lcyl,dt,bdump,adump,ensemble_id,dmon_small,mmon_small,eps_others,mcrowd,dwall,phi_m_bulk,rho_m_bulk,phi_c_bulk,rho_c_bulk,n_frames,asphericityMon-mean,asphericityMon-var,asphericityMon-sem,fsdMon-mean,fsdMon-var,fsdMon-sem,gyrMon-mean,gyrMon-var,gyrMon-sem,shapeMon-mean,shapeMon-var,shapeMon-sem
epss5epsl5r10.5al5nl5ml125ns400ac1nc0lz77dt0.005bdump2000adump5000ens1.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc0lz77dt0.005bdump2000adump5000ens1.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc0lz77dt0.005bdump2000adump5000,ns400nl5al5.0D20.0ac1.0nc0,ns400nl5al5.0D20.0ac1.0,5.0,5.0,20.0,5.0,5,125,400,1.0,0,154.0,0.005,2000,5000,1,1.0,1.0,1.0,1.0,1.0,0.0110930735930735,0.0083711366171711,0.0,0.0,50001,0.6907114297255161,0.0091926148813929,0.00042878001076059735,47.6635483632109,35.1847419463988,0.026527247104212982,14.421479272338063,3.338444094887028,0.008171222790852087,1.1472295498519096,0.056417782983791145,0.0010622408670710344
epss5epsl5r10.5al5nl5ml125ns400ac1nc0lz77dt0.005bdump2000adump5000ens2.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc0lz77dt0.005bdump2000adump5000ens2.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc0lz77dt0.005bdump2000adump5000,ns400nl5al5.0D20.0ac1.0nc0,ns400nl5al5.0D20.0ac1.0,5.0,5.0,20.0,5.0,5,125,400,1.0,0,154.0,0.005,2000,5000,2,1.0,1.0,1.0,1.0,1.0,0.0110930735930735,0.0083711366171711,0.0,0.0,50001,0.6845903763269321,0.010147483107852429,0.00045049934756561923,47.30358818410332,38.80451270818523,0.027858396475097136,14.308300611576495,3.7125323572387416,0.00861688152087371,1.1323543231981779,0.061947846158033025,0.0011130844187035684
epss5epsl5r10.5al5nl5ml125ns400ac1nc0lz77dt0.005bdump2000adump5000ens3.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc0lz77dt0.005bdump2000adump5000ens3.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc0lz77dt0.005bdump2000adump5000,ns400nl5al5.0D20.0ac1.0nc0,ns400nl5al5.0D20.0ac1.0,5.0,5.0,20.0,5.0,5,125,400,1.0,0,154.0,0.005,2000,5000,3,1.0,1.0,1.0,1.0,1.0,0.0110930735930735,0.0083711366171711,0.0,0.0,50001,0.6857208662977765,0.01034830301295146,0.0004549352264433138,47.50016036746678,38.46173729729941,0.02773508150242195,14.35001922165589,3.7938881967058324,0.008710784346665727,1.1358097653960284,0.06223516268962975,0.0011156626971412977
epss5epsl5r10.5al5nl5ml125ns400ac1nc0lz77dt0.005bdump2000adump5000ens4.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc0lz77dt0.005bdump2000adump5000ens4.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc0lz77dt0.005bdump2000adump5000,ns400nl5al5.0D20.0ac1.0nc0,ns400nl5al5.0D20.0ac1.0,5.0,5.0,20.0,5.0,5,125,400,1.0,0,154.0,0.005,2000,5000,4,1.0,1.0,1.0,1.0,1.0,0.0110930735930735,0.0083711366171711,0.0,0.0,50001,0.6934292194080275,0.009565602383951467,0.00043739232695490823,47.9844111819851,35.542333368067105,0.026661707885305135,14.501938311163554,3.462462910174688,0.00832161391819482,1.1543765001185908,0.058716933994886034,0.0010836690822837573
epss5epsl5r10.5al5nl5ml125ns400ac1nc0lz77dt0.005bdump2000adump5000ens5.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc0lz77dt0.005bdump2000adump5000ens5.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc0lz77dt0.005bdump2000adump5000,ns400nl5al5.0D20.0ac1.0nc0,ns400nl5al5.0D20.0ac1.0,5.0,5.0,20.0,5.0,5,125,400,1.0,0,154.0,0.005,2000,5000,5,1.0,1.0,1.0,1.0,1.0,0.0110930735930735,0.0083711366171711,0.0,0.0,50001,0.6813676518194149,0.00960466995665245,0.000438284609737838,47.08933261245664,35.4211519680293,0.026616217600564245,14.213801237882135,3.452635799540233,0.008309796386843944,1.1238061843424862,0.0586361635946413,0.0010829234838587748
epss5epsl5r10.5al5nl5ml125ns400ac1nc0lz77dt0.005bdump2000adump5000ens6.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc0lz77dt0.005bdump2000adump5000ens6.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc0lz77dt0.005bdump2000adump5000,ns400nl5al5.0D20.0ac1.0nc0,ns400nl5al5.0D20.0ac1.0,5.0,5.0,20.0,5.0,5,125,400,1.0,0,154.0,0.005,2000,5000,6,1.0,1.0,1.0,1.0,1.0,0.0110930735930735,0.0083711366171711,0.0,0.0,50001,0.6827901292043846,0.01005897251537311,0.00044853032261761545,47.335265437673726,38.25530389191351,0.027660550931575285,14.3139864935301,3.77176565584732,0.00868535048901001,1.127589928810409,0.061756774550902296,0.0011113664971637602
epss5epsl5r10.5al5nl5ml125ns400ac1nc0lz77dt0.005bdump2000adump5000ens7.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc0lz77dt0.005bdump2000adump5000ens7.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc0lz77dt0.005bdump2000adump5000,ns400nl5al5.0D20.0ac1.0nc0,ns400nl5al5.0D20.0ac1.0,5.0,5.0,20.0,5.0,5,125,400,1.0,0,154.0,0.005,2000,5000,7,1.0,1.0,1.0,1.0,1.0,0.0110930735930735,0.0083711366171711,0.0,0.0,50001,0.6935945857189962,0.008912325852678045,0.0004221925118397541,47.8022726522856,35.9347462006994,0.026808486044795368,14.486621341021811,3.4855406047774125,0.008349300096148673,1.1541025593990255,0.05512173208066698,0.0010499688764974606
epss5epsl5r10.5al5nl5ml125ns400ac1nc0lz77dt0.005bdump2000adump5000ens8.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc0lz77dt0.005bdump2000adump5000ens8.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc0lz77dt0.005bdump2000adump5000,ns400nl5al5.0D20.0ac1.0nc0,ns400nl5al5.0D20.0ac1.0,5.0,5.0,20.0,5.0,5,125,400,1.0,0,154.0,0.005,2000,5000,8,1.0,1.0,1.0,1.0,1.0,0.0110930735930735,0.0083711366171711,0.0,0.0,50001,0.6841683363571753,0.010056441208071913,0.00044847388347755355,47.30244964806667,37.3131586904407,0.02731781788153684,14.306658471895675,3.593059536550322,0.008477098013530719,1.13135746983461,0.061256830742259,0.0011068588956344798
epss5epsl5r10.5al5nl5ml125ns400ac1nc2310lz77dt0.005bdump2000adump5000ens1.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc2310lz77dt0.005bdump2000adump5000ens1.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc2310lz77dt0.005bdump2000adump5000,ns400nl5al5.0D20.0ac1.0nc2310,ns400nl5al5.0D20.0ac1.0,5.0,5.0,20.0,5.0,5,125,400,1.0,2310,154.0,0.005,2000,5000,1,1.0,1.0,1.0,1.0,1.0,0.0110930735930735,0.0083711366171711,0.0249999999999999,0.0477464829275686,50001,0.5842220391001199,0.016173759258300894,0.00056874878915565,41.30578741425813,33.588045725039805,0.025918350921707887,12.412753812615543,3.051669644502444,0.007812387144147997,0.8930658175156325,0.08529853385954995,0.001306128124339645
epss5epsl5r10.5al5nl5ml125ns400ac1nc2310lz77dt0.005bdump2000adump5000ens2.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc2310lz77dt0.005bdump2000adump5000ens2.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc2310lz77dt0.005bdump2000adump5000,ns400nl5al5.0D20.0ac1.0nc2310,ns400nl5al5.0D20.0ac1.0,5.0,5.0,20.0,5.0,5,125,400,1.0,2310,154.0,0.005,2000,5000,2,1.0,1.0,1.0,1.0,1.0,0.0110930735930735,0.0083711366171711,0.0249999999999999,0.0477464829275686,50001,0.6657860053052543,0.010852927369392562,0.00046589542537768194,46.15172175651946,34.983182823279286,0.026451156051590364,13.958988987994536,3.3569502046962993,0.008193839398836542,1.08559625742668,0.0640968895180164,0.0011322269164616818
