nmon,dcyl,dcrowd,lcyl,phi_c_bulk_round,fsdMon-mean,lcyl/fsdMon
500,10.0,0.6,410.0,0.0,128.815,3.183
500,10.0,0.6,410.0,0.1,116.047,3.533
500,10.0,0.6,410.0,0.15,110.377,3.715
500,10.0,0.6,410.0,0.2,109.408,3.747
500,10.0,0.6,410.0,0.225,105.815,3.875
500,10.0,0.6,410.0,0.25,102.661,3.994
500,10.0,0.6,410.0,0.275,99.81,4.108
500,10.0,0.6,410.0,0.3,99.661,4.114
500,10.0,0.6,410.0,0.325,97.926,4.187
500,10.0,0.6,410.0,0.35,93.87,4.368
500,10.0,0.6,410.0,0.375,92.29,4.443
500,10.0,0.6,410.0,0.4,89.817,4.565
500,10.0,0.8,410.0,0.0,128.815,3.183
500,10.0,0.8,411.0,0.1,115.041,3.573
500,10.0,0.8,411.0,0.15,110.975,3.704
500,10.0,0.8,411.0,0.2,106.06,3.875
500,10.0,0.8,411.0,0.225,104.391,3.937
500,10.0,0.8,411.0,0.25,102.862,3.996
500,10.0,0.8,411.0,0.275,100.171,4.103
500,10.0,0.8,411.0,0.3,99.155,4.145
500,10.0,0.8,411.0,0.325,99.457,4.132
500,10.0,0.8,411.0,0.35,96.052,4.279
500,10.0,0.8,411.0,0.375,95.114,4.321
500,10.0,0.8,411.0,0.4,93.123,4.414
500,10.0,1.0,410.0,0.0,128.815,3.183
500,10.0,1.0,411.0,0.1,114.078,3.603
500,10.0,1.0,411.0,0.15,108.944,3.773
500,10.0,1.0,411.0,0.2,103.936,3.954
500,10.0,1.0,411.0,0.225,103.295,3.979
500,10.0,1.0,411.0,0.25,101.398,4.053
500,10.0,1.0,411.0,0.275,99.661,4.124
500,10.0,1.0,411.0,0.3,99.082,4.148
500,10.0,1.0,411.0,0.325,97.916,4.197
500,10.0,1.0,411.0,0.35,96.881,4.242
500,10.0,1.0,411.0,0.375,95.204,4.317
500,10.0,1.0,411.0,0.4,93.958,4.374
1000,15.0,1.0,617.0,0.0,190.292,3.242
1000,15.0,1.0,617.0,0.1,168.571,3.66
1000,15.0,1.0,617.0,0.15,162.251,3.803
1000,15.0,1.0,617.0,0.2,149.222,4.135
1000,15.0,1.0,617.0,0.225,144.479,4.271
1000,15.0,1.0,617.0,0.25,149.442,4.129
1000,15.0,1.0,617.0,0.275,147.996,4.169
1000,15.0,1.0,617.0,0.3,135.899,4.54
1000,15.0,1.0,617.0,0.325,138.309,4.461
1000,15.0,1.0,617.0,0.35,128.627,4.797
1000,15.0,1.0,617.0,0.375,130.122,4.742
1000,15.0,1.0,617.0,0.4,122.016,5.057
1000,15.0,2.0,617.0,0.0,190.292,3.242
1000,15.0,2.0,617.0,0.1,160.601,3.842
1000,15.0,2.0,617.0,0.15,149.691,4.122
1000,15.0,2.0,617.0,0.2,140.845,4.381
1000,15.0,2.0,617.0,0.225,138.169,4.466
1000,15.0,2.0,617.0,0.25,135.521,4.553
1000,15.0,2.0,617.0,0.275,132.302,4.664
1000,15.0,2.0,617.0,0.3,132.097,4.671
1000,15.0,2.0,617.0,0.325,126.364,4.883
1000,15.0,2.0,617.0,0.35,122.305,5.045
1000,15.0,2.0,617.0,0.375,120.467,5.122
1000,15.0,2.0,617.0,0.4,117.144,5.267
2000,20.0,1.0,600.0,0.325,183.878,3.263
2000,20.0,1.0,600.0,0.35,174.938,3.43
2000,20.0,1.0,600.0,0.375,165.277,3.63
2000,20.0,1.0,600.0,0.4,160.816,3.731
2000,20.0,1.0,672.0,0.225,213.949,3.141
2000,20.0,1.0,672.0,0.25,206.017,3.262
2000,20.0,1.0,672.0,0.275,191.293,3.513
2000,20.0,1.0,672.0,0.3,182.318,3.686
2000,20.0,1.0,813.0,0.2,215.145,3.779
2000,20.0,1.0,850.0,0.15,223.006,3.812
2000,20.0,1.0,900.0,0.1,253.679,3.548
2000,20.0,1.0,1008.0,0.0,301.4,3.344
2000,20.0,2.0,1008.0,0.0,301.4,3.344
2000,20.0,2.0,1008.0,0.1,259.815,3.88
2000,20.0,2.0,1008.0,0.15,234.541,4.298
2000,20.0,2.0,1008.0,0.2,221.371,4.553
2000,20.0,2.0,1008.0,0.225,207.823,4.85
